type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose
page,Unit 4: Waves Light and Sound,"Lesson 2 — Sound Waves, Pitch and Acoustics","<div><p><em>Explore sound propagation, how amplitude controls volume, frequency controls pitch, and the physics of echoes.</em></p><h3>Learning Objectives</h3><ul><li>Explain why sound requires a physical medium and cannot travel through a vacuum.</li><li>Relate wave amplitude to loudness (decibels) and frequency to musical pitch.</li><li>Calculate distance using the speed of sound and echo reflection (d = (v × t) / 2).</li></ul><h3>Lesson Content</h3><h4>1. How Sound Travels</h4><p>Sound is a mechanical longitudinal wave produced by vibrating objects. Because sound relies on colliding particles to transmit its vibrations, <strong>sound CANNOT travel through a vacuum (empty space)</strong>. Sci-Fi space explosions with loud booming noises are physically impossible!</p><h4>2. Speed of Sound in Different Media</h4><ul><li><strong>Air (at 20°C):</strong> ~343 m/s (~1,235 km/h).</li><li><strong>Water:</strong> ~1,480 m/s (over 4 times faster than in air!).</li><li><strong>Steel / Solids:</strong> ~5,000 m/s (particles are packed tightly together, transferring kinetic vibrations rapidly).</li></ul><h4>3. Pitch vs. Volume</h4><ul><li><strong>Pitch:</strong> Determined by <strong>frequency</strong>. High frequency = High pitch (e.g., whistle); Low frequency = Deep bass (e.g., tuba). Humans can hear between <strong>20 Hz and 20,000 Hz</strong>.</li><li><strong>Volume (Loudness):</strong> Determined by <strong>amplitude</strong>. Larger amplitude = Louder sound (measured in decibels, dB).</li></ul><h4>4. Echoes and Echolocation (Sonar)</h4><p>An echo is a reflected sound wave. To find distance to a wall or ocean floor:<br>Distance = (Speed of Sound × Total Echo Time) / 2 (divided by 2 because the sound travels there and back!).</p></div>",,0,2,1,,
page,Unit 4: Waves Light and Sound,"Lesson 3 — Light, Reflection, Refraction & the EM Spectrum","<div><p><em>Explore the speed of light, law of reflection, refraction through lenses, and the full electromagnetic spectrum.</em></p><h3>Learning Objectives</h3><ul><li>State the Law of Reflection and explain image formation in plane mirrors.</li><li>Explain refraction as the bending of light caused by a change in speed across different optical media.</li><li>Arrange the electromagnetic spectrum from lowest frequency (radio) to highest frequency (gamma rays).</li></ul><h3>Lesson Content</h3><h4>1. The Nature of Light</h4><p>Light is a transverse electromagnetic wave that can travel through empty space at the ultimate cosmic speed limit: <strong>c = 300,000,000 m/s (3 × 10⁸ m/s)</strong>.</p><h4>2. Reflection and Refraction</h4><ul><li><strong>Law of Reflection:</strong> The angle of incidence equals the angle of reflection (θ_i = θ_r), measured relative to the normal line.</li><li><strong>Refraction:</strong> When light passes from one medium to another (e.g., from air into water or glass), it changes speed and bends. Moving into a denser medium slows the light down, bending it <em>towards</em> the normal.</li></ul><h4>3. The Electromagnetic (EM) Spectrum</h4><p>From longest wavelength / lowest energy to shortest wavelength / highest energy:</p><ol><li><strong>Radio Waves:</strong> Broadcasting and telecommunications.</li><li><strong>Microwaves:</strong> Cooking food, Wi-Fi, satellite GPS.</li><li><strong>Infrared (IR):</strong> Thermal imaging, remote controls, radiant heat.</li><li><strong>Visible Light:</strong> Red (longest λ) to Violet (shortest λ) — the only band human eyes detect!</li><li><strong>Ultraviolet (UV):</strong> Suntans, sterilization, causes sunburns.</li><li><strong>X-rays:</strong> Medical bone imaging, airport luggage security.</li><li><strong>Gamma Rays:</strong> High-energy radiation from nuclear reactions, cancer radiotherapy.</li></ol></div>",,0,2,1,,
quiz,Unit 4: Waves Light and Sound,Unit 4 Quiz — Waves Light and Sound,5 auto-marked conceptual and calculation questions covering Unit 4: Waves Light and Sound.,50,0,2,1,,
assign,Unit 4: Waves Light and Sound,Unit 4 Assignment — Acoustic Instrument Design & Wave Analysis,"<p><strong>Challenge:</strong> Design a working acoustic musical instrument (e.g., a multi-note pan flute, bottle organ, or box guitar) and analyze the physics of its sound generation.</p><h4>Project Requirements:</h4><ol><li><strong>Instrument Blueprint:</strong> Provide a sketch/schematic of your proposed DIY instrument, indicating how sound vibrations are initiated (plucked string, vibrating air column, or struck membrane).</li><li><strong>Acoustic Calculations:</strong><ul><li>Show how varying the length of the string or air pipe changes the wavelength (λ) and resulting frequency (f).</li><li>Calculate the wavelength of Middle C (f = 261.63 Hz) assuming speed of sound in air is v = 343 m/s.</li><li>Calculate the distance to a canyon wall if an echo takes 1.6 seconds to return.</li></ul></li><li><strong>Wave Comparison Report:</strong> Compare your instrument's sound wave with light waves in a 3-column table (Wave type, Speed, Medium requirement).</li></ol><h3>Grading Rubric (Total: 100 Points)</h3><table border='1' cellpadding='7' style='border-collapse:collapse;width:100%'><thead><tr><th>Criteria</th><th>Exemplary (4)</th><th>Proficient (3)</th><th>Developing (2)</th><th>Beginning (1)</th></tr></thead><tbody><tr><td><strong>Physics Calculations (35 pts)</strong></td><td>Middle C wavelength and echo calculations are completely accurate with working shown.</td><td>Calculations correct with minor calculation slips.</td><td>Equations present but significant math errors.</td><td>Missing calculations.</td></tr><tr><td><strong>Acoustic Explanations (30 pts)</strong></td><td>Clear, accurate explanation linking pitch to frequency and volume to amplitude.</td><td>Good explanations with minor gaps.</td><td>Confuses pitch and volume concepts.</td><td>Incorrect acoustic concepts.</td></tr><tr><td><strong>Design & Schematic (25 pts)</strong></td><td>Creative, feasible instrument blueprint with annotated vibrating mechanisms.</td><td>Complete diagram with labels.</td><td>Basic sketch lacking detail.</td><td>Missing blueprint.</td></tr><tr><td><strong>Clarity & Table (10 pts)</strong></td><td>Flawless comparison table between sound and light.</td><td>Good table with clear comparisons.</td><td>Incomplete comparison.</td><td>Missing table.</td></tr></tbody></table>",100,0,1,0,,
forum,Unit 4: Waves Light and Sound,Unit 4: Waves Light and Sound Discussion,"<div><h3>Discussion Prompt</h3><blockquote>Dolphins and bats both navigate dark environments using echolocation, while vipers use pit organs to detect infrared light emitted by prey. Compare how echolocation (sound waves) and thermal infrared detection (light waves) function. What are the advantages and limitations of each in different environments (e.g., muddy water vs. open night sky)?</blockquote><p><strong>Teacher Facilitation Notes:</strong> Encourage students to cite specific laws/formulas from the lessons and respectfully evaluate peer responses.</p></div>",,0,1,0,,
section,Unit 5: Electricity and Magnetism,Unit 5: Electricity and Magnetism,,,1,0,0,,
label,Unit 5: Electricity and Magnetism,UNIT 5: Electricity & Magnetism — Circuits and Modern Power,"<div><h3>UNIT 5: Electricity & Magnetism — Circuits and Modern Power</h3><p>Understand electric charge, solve circuit problems with Ohm's Law (V = IR), compare series vs. parallel circuits, and explore electromagnets and motors.</p><p><strong>Pacing:</strong> Weeks 13–15 (Estimated 6–8 study hours)</p></div>",,1,0,0,,
page,Unit 5: Electricity and Magnetism,Lesson 1 — Electric Charge and Static Electricity,"<div><p><em>Learn about atomic charges, electron transfer, electrostatic attraction/repulsion, and lightning safety.</em></p><h3>Learning Objectives</h3><ul><li>Explain electric charge in terms of protons (+), electrons (-), and charge conservation.</li><li>State the Law of Electrostatic Attraction and Repulsion.</li><li>Describe real-world electrostatic phenomena (balloon rub, photocopiers, lightning discharge).</li></ul><h3>Lesson Content</h3><p>All matter is made of atoms containing positively charged <strong>protons</strong>, neutral <strong>neutrons</strong>, and negatively charged <strong>electrons</strong>. Electricity is the movement and interaction of these electric charges.</p><h4>1. The Law of Electric Charges</h4><ul><li><strong>Like charges repel</strong> (+ and + repel, - and - repel).</li><li><strong>Opposite charges attract</strong> (+ and - attract each other).</li></ul><h4>2. Static Electricity: Friction and Charge Transfer</h4><p>When two insulating materials are rubbed together (e.g., rubbing a rubber balloon on a wool sweater), friction transfers <strong>electrons</strong> from one material to the other:</p><ul><li>The material that gains electrons becomes <strong>negatively charged</strong>.</li><li>The material that loses electrons is left with an excess of protons and becomes <strong>positively charged</strong>.</li><li><em>Note:</em> Protons are trapped tightly inside atomic nuclei—only electrons move!</li></ul><h4>3. Lightning: Nature's Ultimate Static Discharge</h4><p>In a thundercloud, violent collisions between ice particles cause massive charge separation (negative charges accumulate at the base of the cloud). When the voltage potential becomes enormous, electrons ionize the air and discharge violently to the ground as a bolt of lightning, carrying up to 30,000 Amperes of current!</p></div>",,0,2,1,,
page,Unit 5: Electricity and Magnetism,"Lesson 2 — Current, Voltage, Resistance and Ohm's Law","<div><p><em>Master the fundamental triumvirate of electric circuits: Current (I), Voltage (V), Resistance (R), and Ohm's Law.</em></p><h3>Learning Objectives</h3><ul><li>Define Current (I) in Amperes, Potential Difference / Voltage (V) in Volts, and Resistance (R) in Ohms.</li><li>Apply Ohm's Law (V = I × R) to calculate voltage, current, or resistance in electric circuits.</li><li>Use circuit symbols to draw and interpret schematic circuit diagrams.</li></ul><h3>Lesson Content</h3><h4>1. The Three Key Circuit Quantities</h4><ul><li><strong>Current (I):</strong> The rate of flow of electric charge (electrons). Measured in <strong>Amperes (A)</strong> with an <em>Ammeter</em> connected in series.</li><li><strong>Voltage (V) / Potential Difference:</strong> The electrical push or energy provided per unit charge by the battery. Measured in <strong>Volts (V)</strong> with a <em>Voltmeter</em> connected in parallel.</li><li><strong>Resistance (R):</strong> How much a component opposes the flow of electric current. Measured in <strong>Ohms (Ω)</strong>.</li></ul><h4>2. Ohm's Law</h4><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> Voltage = Current × Resistance (V = I × R)<br><strong>Rearranged:</strong> I = V / R and R = V / I.<br><em>Physical Meaning:</em> If you increase voltage, current increases. If you increase resistance, current decreases!</p><h4>3. Worked Example</h4><p><strong>Problem:</strong> A smartphone charger produces a voltage of 5.0 V connected to an internal circuit with a resistance of 2.5 Ω. How much current flows?</p><p><strong>Solution:</strong> I = V / R = 5.0 V / 2.5 Ω = 2.0 Amperes.</p><h4>4. Electrical Power in Circuits</h4><p>Electrical Power = Voltage × Current (P = V × I)</p></div>",,0,2,1,,
page,Unit 5: Electricity and Magnetism,Lesson 3 — Series vs. Parallel Circuits and Electromagnetism,"<div><p><em>Compare series and parallel circuit behavior, understand household wiring safety, and discover electromagnets and electric motors.</em></p><h3>Learning Objectives</h3><ul><li>Contrast series circuits (single loop) with parallel circuits (branching paths).</li><li>Explain why household appliances are wired in parallel rather than series.</li><li>Describe how an electric current creates a magnetic field, and how to build a powerful electromagnet.</li></ul><h3>Lesson Content</h3><h4>1. Series vs. Parallel Circuits</h4><table border='1' cellpadding='7' style='border-collapse:collapse;width:100%'><thead><tr><th>Feature</th><th>Series Circuit</th><th>Parallel Circuit</th></tr></thead><tbody><tr><td><strong>Pathways</strong></td><td>Single continuous loop for all charges.</td><td>Multiple independent branches.</td></tr><tr><td><strong>If one bulb breaks</strong></td><td>ALL bulbs turn off (circuit is broken).</td><td>Other branches remain lit and working!</td></tr><tr><td><strong>Current (I)</strong></td><td>Same current everywhere: I_total = I_1 = I_2.</td><td>Current splits across branches: I_total = I_1 + I_2.</td></tr><tr><td><strong>Voltage (V)</strong></td><td>Voltage splits: V_total = V_1 + V_2.</td><td>Full voltage across every branch: V_total = V_1 = V_2.</td></tr><tr><td><strong>Household Use</strong></td><td>Old holiday string lights.</td><td><strong>Standard home wiring!</strong></td></tr></tbody></table><h4>2. Electromagnetism: Magnets from Electricity</h4><p>When an electric current flows through a wire, it generates a circular magnetic field around the wire. By coiling the wire tightly around an iron nail (forming a <strong>solenoid</strong>), you create a controllable <strong>Electromagnet</strong>!</p><h4>3. How to Make an Electromagnet Stronger</h4><ol><li>Increase the number of wire coils/turns.</li><li>Increase the electric current (higher voltage battery).</li><li>Use a soft ferromagnetic core (like an iron nail).</li></ol><h4>4. Everyday Applications</h4><p>Electromagnets power electric vehicle motors, Maglev bullet trains, MRI scanners in hospitals, and giant scrapyard lifting cranes!</p></div>",,0,2,1,,
quiz,Unit 5: Electricity and Magnetism,Unit 5 Quiz — Electricity and Magnetism,5 auto-marked conceptual and calculation questions covering Unit 5: Electricity and Magnetism.,50,0,2,1,,
assign,Unit 5: Electricity and Magnetism,Unit 5 Assignment — Smart Home Circuit Architecture & Safety Blueprint,"<p><strong>Design Challenge:</strong> You are the chief electrical engineer designing the circuitry and safety systems for an eco-friendly modern smart home.</p><h4>Blueprint Specifications:</h4><ol><li><strong>Circuit Schematic:</strong> Draw a clean circuit diagram containing:<ul><li>A 120 V main power source.</li><li>At least three separate parallel branches: (1) Living room lighting, (2) Kitchen high-power appliances, (3) Bedroom smart devices.</li><li>Individual switches for each room and a master fuse / circuit breaker in the main branch.</li></ul></li><li><strong>Circuit Calculations (V = IR and P = VI):</strong><ul><li>If Branch 1 has two 60 W lamps operating at 120 V, calculate the current drawn by each lamp.</li><li>If a 1,200 W microwave in Branch 2 operates at 120 V, calculate its current and electrical resistance.</li><li>Calculate total current drawn when all devices run simultaneously. What rating fuse (e.g., 10 A, 15 A, 20 A) should be installed?</li></ul></li><li><strong>Safety & Electromagnet Analysis:</strong> Explain how an electromagnetic circuit breaker automatically trips to prevent house fires during an electrical overload.</li></ol><h3>Grading Rubric (Total: 100 Points)</h3><table border='1' cellpadding='7' style='border-collapse:collapse;width:100%'><thead><tr><th>Criteria</th><th>Exemplary (4)</th><th>Proficient (3)</th><th>Developing (2)</th><th>Beginning (1)</th></tr></thead><tbody><tr><td><strong>Circuit Diagram & Standard Symbols (30 pts)</strong></td><td>Accurate schematic using standard electrical symbols; parallel branches clearly isolated.</td><td>Clean diagram with minor symbol errors.</td><td>Series/parallel confusion in schematic.</td><td>Incomplete or incorrect diagram.</td></tr><tr><td><strong>Ohm's Law & Power Math (35 pts)</strong></td><td>All currents, resistances, and fuse ratings calculated with 100% precision.</td><td>Math mostly correct with minor slips.</td><td>Incorrect equations used for power/resistance.</td><td>Missing calculations.</td></tr><tr><td><strong>Safety & Breaker Explanation (25 pts)</strong></td><td>Comprehensive explanation of electromagnetic breaker operation and short-circuit hazards.</td><td>Good explanation of circuit breakers.</td><td>Basic explanation lacking electromagnetic details.</td><td>Incorrect safety explanation.</td></tr><tr><td><strong>Engineering Clarity & Labels (10 pts)</strong></td><td>Professional formatting, neatly annotated.</td><td>Clear and readable.</td><td>Minor disorganization.</td><td>Messy or hard to read.</td></tr></tbody></table>",100,0,1,0,,
forum,Unit 5: Electricity and Magnetism,Unit 5: Electricity and Magnetism Discussion,"<div><h3>Discussion Prompt</h3><blockquote>High-speed Magnetic Levitation (Maglev) trains in Japan and China can travel over 600 km/h without wheels touching the track, using powerful electromagnets. What are the key physics advantages of using magnetic levitation over conventional wheeled trains, and what engineering hurdles make building Maglev tracks challenging?</blockquote><p><strong>Teacher Facilitation Notes:</strong> Encourage students to cite specific laws/formulas from the lessons and respectfully evaluate peer responses.</p></div>",,0,1,0,,
